tweet id,time of tweet,user id,text
1450612640800194565,2021-10-19 23:59:39,laurapcd1,RT @YahooNews: The House Intelligence Committee is seeking info about a Yahoo News report that CIA officials plotted to kidnap Julian Assan…
1450612083989561356,2021-10-19 23:57:26,Nm6V4Fvmkwb84n0,RT @YahooNews: The House Intelligence Committee is seeking info about a Yahoo News report that CIA officials plotted to kidnap Julian Assan…
1450611765839007746,2021-10-19 23:56:10,yvanoort,RT @YahooNews: There are 5 million fewer people working than before the pandemic began and 3 million fewer even looking for work. https://t…
1450611567595331584,2021-10-19 23:55:23,YahooNews,The Biden administration's effort to get the Supreme Court to block a Texas ban on abortions after six weeks of pregnancy may be the best shot reproductive rights advocates now have to halt enforcement of the controversial law. https://t.co/rSIVLuCQ4r
1450611307560976388,2021-10-19 23:54:21,whammerkid,"RT @YahooNews: Joey Holz, whose experiment went viral, told Insider he specifically applied to businesses that were publicly complaining of…"
1450610574379950091,2021-10-19 23:51:26,achillesheal77,RT @YahooNews: The House Intelligence Committee is seeking info about a Yahoo News report that CIA officials plotted to kidnap Julian Assan…
1450610089979781121,2021-10-19 23:49:31,blueyedlvrgirl,RT @YahooNews: There are 5 million fewer people working than before the pandemic began and 3 million fewer even looking for work. https://t…
1450610010938093579,2021-10-19 23:49:12,KarenWenLin,RT @YahooNews: The House Intelligence Committee is seeking info about a Yahoo News report that CIA officials plotted to kidnap Julian Assan…
1450609933825806338,2021-10-19 23:48:53,kat46655,RT @YahooNews: A growing body of research suggests infection plus vaccination provides the strongest protection against a wide range of var…
1450609910065111042,2021-10-19 23:48:48,sparkobuzzer,RT @YahooNews: A growing body of research suggests infection plus vaccination provides the strongest protection against a wide range of var…
1450609441762680836,2021-10-19 23:46:56,ChristineVSmith,RT @YahooEnt: ‘The Bachelorette’ Michelle Young on balancing reality tv fame with life as an elementary school teacher  https://t.co/vPEgHK…
1450609414239571968,2021-10-19 23:46:50,Yahoo,"RT @yahoolife: Angelina Jolie’s daughter Zahara, 16, wears mom’s 2014 Oscars dress for 'Eternals' premiere. https://t.co/r5giOlRBrv https:/…"
1450608990203744256,2021-10-19 23:45:08,ninetyniners,"RT @YahooNews: Joey Holz, whose experiment went viral, told Insider he specifically applied to businesses that were publicly complaining of…"
1450608505228988416,2021-10-19 23:43:13,beautybysw,RT @YahooNews: There are 5 million fewer people working than before the pandemic began and 3 million fewer even looking for work. https://t…
1450608246029422596,2021-10-19 23:42:11,tati_vict,RT @YahooNews: A growing body of research suggests infection plus vaccination provides the strongest protection against a wide range of var…
1450606942032912386,2021-10-19 23:37:00,Trade_In_Green,"""Coles has today announced that its goal to source 100 per cent of their electricity needs from renewable sources from 2025 is becoming a reality."" https://t.co/1PiaIaNkcd"
1450606883547533315,2021-10-19 23:36:46,RonaldA16957298,RT @YahooNews: The House Intelligence Committee is seeking info about a Yahoo News report that CIA officials plotted to kidnap Julian Assan…
